NoA: 5, NoC: 5, NoS: 4
 STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH  WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH | OUT
     |             |      C04            |                |                          |      |     
     |             |           C02       |                |                          |      |     
     |             |                C03  |                |                          |      |     
     |             | A01Y                |                |                          |      |     
     |         A06 |                     |                |                          |      |     
     |             |                     | A01Y           |                          |      |     
     |             |                     |           A01Y |                          |      |     
     |             | A05                 |                |                          |      |     
     |             |      C04B           |                |                          |      |     
     |             |           C02Y      |                |                          |      |     
     |             |                     | C02B           |                          |      |     
     |             |                     |      C02B      |                          |      |     
     |             |                C03B |                |                          |      |     
     |             | A05Y                |                |                          |      |     
     |             |                     | C03Y           |                          |      |     
     |             |                     |      C03Y      |                          |      |     
     |             |                     | A04Y           |                          |      |     
     |             |                     |           A04Y |                          |      |     
     |             |                     | C05B           |                          |      |     
     |             |                     |                | A01Y                     |      |     
     |             |                     |                |                A01Y      |      |     
     |             | A06                 |                |                          |      |     
     |             |                     |                | C02B                     |      |     
     |             |                     |                |      C02B                |      |     
     |             |                     |      C05B      |                          |      |     
     |             |                     |                | A04Y                     |      |     
     |             |                     |                |                A04Y      |      |     
     |             |                     |                |                          | A01Y |     
     |             |                     |                |                          |      | A01Y
     |             | A06Y                |                |                          |      |     
     |             |                     |                |                          | A02Y |     
     |             |                     |                |                          |      | A02Y
     |             |                     | A06Y           |                          |      |     
     |             |                     |           A06Y |                          |      |     
     |             |                     |                | C03Y                     |      |     
     |             |                     |                |      C03Y                |      |     
     |             |                     |                |                          | C03Y |     
     |             |                     |                |                          |      | C03Y
     |             |                     |                |                          | C04B |     
     |             |                     |                |                          |      | C04B
     |             |                     |                | C05B                     |      |     
     |             |                     |                |      C05B                |      |     
     |             |                     |                | A06Y                     |      |     
     |             |                     |                |                A06Y      |      |     
     |             |                     |                |                          | C05B |     
     |             |                     |                |                          |      | C05B
     |             |                     |                |                          | A06Y |     
     |             |                     |                |                          |      | A06Y
NoA: 3, NoC: 3, NoS: 4
 STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH  WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH | OUT
 INIT|             |                     |                |                          |    
 RUN |             |                     |                |                          |    
     | C01         |                     |                |                          |      |     
     |     C01     |                     |                |                          |      |     
     | C02         |                     |                |                          |      |     
     | A03         |                     |                |                          |      |     
     |         A03 |                     |                |                          |      |     
     |     C02     |                     |                |                          |      |     
     | A04         |                     |                |                          |      |     
     | C05         |                     |                |                          |      |     
     |     C05     |                     |                |                          |      |     
     | A06         |                     |                |                          |      |     
     |         A04 |                     |                |                          |      |     
     |             | C01                 |                |                          |      |     
     |         A06 |                     |                |                          |      |     
     |             | C01B                |                |                          |      |     
     |             | C02                 |                |                          |      |     
     |             |                     | C01B           |                          |      |     
     |             |                     |      C01B      |                          |      |     
     |             |      A03            |                |                          |      |     
     |             |           A04       |                |                          |      |     
     |             | C02B                |                |                          |      |     
     |             | C05                 |                |                          |      |     
     |             |      A03R           |                |                          |      |     
     |             | C05Y                |                |                          |      |     
     |             |           A04Y      |                |                          |      |     
     |             |                     | C02Y           |                          |      |     
     |             |                     | A03Y           |                          |      |     
     |             |                     |           A03Y |                          |      |     
     |             |                     | C04B           |                          |      |     
     |             |                     |      C02Y      |                          |      |     
     |             |                     | A05R           |                          |      |     
     |             |                     |           A05R |                          |      |     
     |             |                     |                | C01B                     |      |     
     |             |                     |                | A03Y                     |      |     
     |             |                     |                |      C01B                |      |     
     |             |                     |                |                A03Y      |      |     
     |             |                     |      C04B      |                          |      |     
     |             | A06                 |                |                          |      |     
     |             | A06R                |                |                          |      |     
     |             |                     |                | A05R                     |      |     
     |             |                     |                |                A05R      |      |     
     |             |                     |                | C02Y                     |      |     
     |             |                     | A06R           |                          |      |     
     |             |                     |           A06R |                          |      |     
     |             |                     |                |      C02Y                |      |     
     |             |                     |                |                          | C01B |     
     |             |                     |                |                          |      | C01B
     |             |                     |                |                          | A02Y |     
     |             |                     |                |                          |      | A02Y
     |             |                     |                |                          | C03Y |     
     |             |                     |                |                          |      | C03Y
     |             |                     |                | A06R                     |      |     
     |             |                     |                |                A06R      |      |     
     |             |                     |                |                          | A04R |     
     |             |                     |                |                          |      | A04R
     |             |                     |                | C04B                     |      |     
     |             |                     |                |      C04B                |      |     
     |             |                     |                |                          | C05B |     
     |             |                     |                |                          |      | C05B
     |             |                     |                |                          | A06R |     
     |             |                     |                |                          |      | A06R
NoA: 3, NoC: 3, NoS: 4
 STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH  WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH | OUT
 INIT|             |                     |                |                          |    
 RUN |             |                     |                |                          |    
     | A01         |                     |                |                          |      |     
     |         A01 |                     |                |                          |      |     
     | A02         |                     |                |                          |      |     
     | A03         |                     |                |                          |      |     
     |         A02 |                     |                |                          |      |     
     |             | A01                 |                |                          |      |     
     |         A03 |                     |                |                          |      |     
     |             |      A02            |                |                          |      |     
     |             |           A03       |                |                          |      |     
     | C04         |                     |                |                          |      |     
     |     C04     |                     |                |                          |      |     
     | C05         |                     |                |                          |      |     
     | C06         |                     |                |                          |      |     
     |     C05     |                     |                |                          |      |     
     |             |                C04  |                |                          |      |     
     |             |                C04R |                |                          |      |     
     |             |                     | C01R           |                          |      |     
     |             |                     |      C01R      |                          |      |     
     |     C06     |                     |                |                          |      |     
     |             |                     |                | C01R                     |      |     
     |             |                C05  |                |                          |      |     
     |             |      A02R           |                |                          |      |     
     |             |                     |                |      C01R                |      |     
     |             |                     | A02R           |                          |      |     
     |             |                     |                |                          | C01R |     
     |             |                     |           A02R |                          |      |     
     |             |                     |                |                          |      | C01R
     |             |                     |                | A02R                     |      |     
     |             |      C06            |                |                          |      |     
     |             |                     |                |                A02R      |      |     
     |             |                     |                |                          | A02R |     
     |             |                     |                |                          |      | A02R
     |             | A01Y                |                |                          |      |     
     |             |                     | A03Y           |                          |      |     
     |             |                     |           A03Y |                          |      |     
     |             |      C06Y           |                |                          |      |     
     |             |                     |                | A03Y                     |      |     
     |             |                     |                |                A03Y      |      |     
     |             |                     | C04Y           |                          |      |     
     |             |                     |      C04Y      |                          |      |     
     |             |                     |                |                          | A03Y |     
     |             |                     |                |                          |      | A03Y
     |             |                     |                | C04Y                     |      |     
     |             |                     |                |      C04Y                |      |     
     |             |                     |                |                          | C04Y |     
     |             |                     |                |                          |      | C04Y
     |             |                C05B |                |                          |      |     
     |             |                     | C05B           |                          |      |     
     |             |                     |      C05B      |                          |      |     
     |             |                     |                | C05B                     |      |     
     |             |                     |                |      C05B                |      |     
     |             |                     |                |                          | C05B |     
     |             |                     |                |                          |      | C05B
     |             |           A03Y      |                |                          |      |     
     |             |                     | A06Y           |                          |      |     
     |             |                     |           A06Y |                          |      |     
